"","name","number","start.freq","end.freq"
"465","Potomac & M St NW",31295,9715,12217
"466","Reston Pkwy & Spectrum Dr",32225,108,106
"467","Shady Grove Metro East",32067,992,976
"468","Sunset Hills Rd & Isaac Newton Square",32220,735,857
"469","Town Center Pkwy & Sunset Hills Rd",32224,161,104
"470","Virginia Ave & 25th St NW",31297,3865,3928
"471","Washington-Lee High School / N Stafford St & Generals Way",31920,1224,952
"472","Westover Library / Washington Blvd & N McKinley Rd",31921,371,385
"473","Wilson Blvd & N Troy St",31924,1772,1106
"474","15th St & Pennsylvania Ave NW/Pershing Park",31129,4351,4682
"475","19th & Savannah St SE",31815,8,13
"476","1st & S Capitol St SE / Oxon Run Trail",31817,20,29
"477","22nd & H St NW",31127,5788,5793
"478","23rd & M St NW",31128,8028,8548
"479","4th St & Mississippi Ave SE",31816,55,115
"480","Alabama Ave & Stanton Rd SE / Shops at Park Village",31813,87,61
"481","Corporate Blvd & Omega Dr",32071,101,93
"482","Key West Ave & Diamondback Dr",32072,23,16
"483","Livingston Rd & 3rd St SE",31818,40,52
"484","Mississippi Ave & 19th St SE / THEARC",31814,29,32
"485","37th & Ely Pl SE / Fort Dupont Ice Arena",31715,10,13
"486","Joliet St & MLK Ave SW/Bald Eagle Rec Ctr",31819,11,4
"487","Lincoln Rd & Seaton Pl NE/Harry Thomas Rec Center",31523,198,103
"488","Maine Ave & 9th St SW",31646,1489,1651
