"","tract","name","number","start.freq","end.freq","lat","lng","state","number.of.households","avg.household.size","percent.disability","percent.veterans","number.of.children","percent.children","number.enrolled.in.school","percent.schooling.no.diploma","percent.schooling.hs.graduate","percent.schooling.some.college","percent.schooling.associates","percent.schooling.bachelors","percent.schooling.graduate.or.professional","percent.hs.or.higher","percent.bachelor.or.higher","percent.in.labor.force","number.commuting.to.work","percent.commute.car.alone","percent.commute.car.carpool","percent.commute.public.transit","percent.commute.walking","percent.commute.other.means","mean.travel.time.work","percent.income.less10k","percent.income.10k.15k","percent.income.15k.25k","percent.income.25k.35k","percent.income.35k.50k","percent.income.50k.75k","percent.income.75k.100k","percent.income.100k.150k","percent.income.150k.200k","percent.income.greater200k","median.income","mean.income","percent.families.below.poverty.line","percent.moved.2015.later","percent.moved.2010.2014","percent.moved.2000.2009","percent.moved.1990.1999","percent.moved.1980.1989","percent.moved.1979.earlier","percent.female","percent.race.black","percent.race.american.indian","percent.race.asian","percent.race.pacific.islander","percent.race.other","percent.race.two","percent.race.white"
"376","1400000US51013101801","Clarendon Blvd & N Fillmore St",31021,23414,16771,38.8878759,-77.0931288,"VA","1777","1.76","2.2","6.0","430","13.7","394","0.2","0.3","1.9","2.3","45.1","50.2","99.8","95.3","94.7","2504","49.3","5.5","29.4","5.7","2.1","27.6","1.2","1.1","0.6","0.4","4.2","5.5","12.5","26.7","16.7","31.0","147846","173746","0.0","15.3","66.2","16.3","1.0","0.6","0.7","53.1","1.2","0.7","12.8","0.0","1.0","3.3","81.1"
"377","1400000US51013101802","Wilson Blvd & N Uhle St",31017,43138,28913,38.8915558,-77.0848664,"VA","3566","1.96","3.3","5.9","1072","15.3","1008","0.2","3.7","4.4","2.5","41.1","44.1","95.7","85.2","86.1","5054","37.3","8.0","36.5","9.8","2.7","28.6","3.0","3.1","1.4","3.1","7.5","10.7","7.2","28.4","21.6","14.0","122559","134012","8.7","9.1","61.7","20.9","6.1","1.2","1.1","48.1","3.0","0.4","11.4","0.0","10.2","5.2","69.8"
"378","1400000US51013101802","Court House Metro / 15th & N Uhle St",31089,32902,24144,38.890685,-77.084636,"VA","3566","1.96","3.3","5.9","1072","15.3","1008","0.2","3.7","4.4","2.5","41.1","44.1","95.7","85.2","86.1","5054","37.3","8.0","36.5","9.8","2.7","28.6","3.0","3.1","1.4","3.1","7.5","10.7","7.2","28.4","21.6","14.0","122559","134012","8.7","9.1","61.7","20.9","6.1","1.2","1.1","48.1","3.0","0.4","11.4","0.0","10.2","5.2","69.8"
"379","1400000US51013101803","Barton St & 10th St N",31050,11345,9001,38.8845427,-77.0877325,"VA","2162","1.95","3.5","4.2","556","13.2","855","3.4","5.2","4.7","2.8","45.0","32.1","89.8","77.1","87.8","3132","59.7","5.0","25.0","3.5","1.7","29.3","0.5","0.0","4.4","3.5","4.9","20.2","25.9","14.1","11.1","15.4","83097","135367","5.1","5.7","54.0","24.8","8.6","3.2","3.6","44.3","3.8","0.0","6.4","0.0","6.8","3.9","79.1"
"380","1400000US51013101803","Washington Blvd & 7th St N",31032,6973,6095,38.8807537,-77.0905081,"VA","2162","1.95","3.5","4.2","556","13.2","855","3.4","5.2","4.7","2.8","45.0","32.1","89.8","77.1","87.8","3132","59.7","5.0","25.0","3.5","1.7","29.3","0.5","0.0","4.4","3.5","4.9","20.2","25.9","14.1","11.1","15.4","83097","135367","5.1","5.7","54.0","24.8","8.6","3.2","3.6","44.3","3.8","0.0","6.4","0.0","6.8","3.9","79.1"
"381","1400000US51013101803","N Pershing Dr & Wayne St",31065,11781,10185,38.8806524,-77.0856823,"VA","2162","1.95","3.5","4.2","556","13.2","855","3.4","5.2","4.7","2.8","45.0","32.1","89.8","77.1","87.8","3132","59.7","5.0","25.0","3.5","1.7","29.3","0.5","0.0","4.4","3.5","4.9","20.2","25.9","14.1","11.1","15.4","83097","135367","5.1","5.7","54.0","24.8","8.6","3.2","3.6","44.3","3.8","0.0","6.4","0.0","6.8","3.9","79.1"
"382","1400000US51013101900","Clarendon Metro / Wilson Blvd & N Highland St",31022,35552,27584,38.887176,-77.094987,"VA","1120","2.71","5.5","6.8","702","23.1","689","2.0","5.1","3.8","1.7","36.8","50.3","97.7","87.1","78.5","1943","47.4","2.0","29.0","4.6","6.8","27.9","1.5","1.2","2.0","1.3","2.8","8.0","10.7","13.3","16.9","42.4","172500","195296","1.6","7.5","31.8","25.8","19.8","9.2","5.9","52.5","1.7","0.0","2.3","0.0","0.0","4.3","91.7"
"383","1400000US51013102001","Carlin Springs Rd & N Thomas St",31919,1736,1351,38.8768393,-77.1128827,"VA","1309","2.25","5.5","5.9","441","15.0","486","3.3","10.0","9.5","0.0","31.5","25.0","76.0","56.5","73.7","1809","57.5","1.4","28.6","6.9","2.3","32.1","8.7","1.6","11.1","7.5","7.2","10.0","16.3","21.5","8.8","7.3","84632","87972","22.5","16.0","47.1","26.1","6.4","4.4","0.0","49.3","5.0","0.0","7.5","0.0","29.5","2.6","55.4"
"384","1400000US51013102002","N Quincy St & Glebe Rd",31035,16954,14222,38.8761508,-77.1082808,"VA","610","2.34","2.8","4.2","310","21.7","338","8.2","12.6","9.9","2.4","31.3","34.2","90.4","65.5","81.2","957","53.0","4.3","27.7","6.7","1.7","26.0","4.8","0.0","7.2","12.6","7.7","27.0","11.0","10.3","8.9","10.5","71167","92227","2.4","10.0","50.8","26.6","9.7","2.1","0.8","46.3","10.7","0.0","24.8","1.9","6.6","2.0","54.0"
"385","1400000US51013102003","Pershing & N George Mason Dr",31069,11454,10300,38.8717365,-77.1081406,"VA","2195","1.70","13.2","7.0","809","21.7","677","5.1","17.1","13.6","4.5","22.8","22.4","80.4","45.2","64.9","1891","49.7","7.1","31.3","9.7","0.0","27.9","16.2","9.2","10.4","15.0","3.7","16.4","7.7","10.3","3.6","7.6","33098","65601","8.4","5.2","53.9","29.1","3.6","4.6","3.6","54.7","17.8","0.0","6.5","0.0","14.1","6.1","55.5"
