STATION,NAME,DATE,AWND,PRCP,SNOW,TAVG,TMAX,TMIN,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT11,WT13,WT14,WT15,WT16,WT17,WT18,WT21,WT22
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",4/21/2010,4.03,0.22,0,,57,53,1,,,,1,,1,1,,,1,1,,1,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",4/22/2010,6.26,0,0,,74,50,1,,,,,,,1,,,1,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",4/23/2010,6.04,0,0,,73,53,,,,,,,,,,,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",4/24/2010,5.82,0.05,0,,63,54,,,,,1,,,,,,,,,1,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",4/25/2010,9.17,0.12,0,,77,53,1,,1,,1,,,1,,,,,,1,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",4/26/2010,4.92,0.3,0,,62,54,1,,,,1,,,1,,,1,1,,1,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",4/27/2010,12.75,0,0,,65,46,,,,,,,,,,,,,,1,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",4/28/2010,11.86,0,0,,60,43,,,,,,,,,,,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",4/29/2010,9.17,0,0,,72,44,,,,,,,,,,,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",4/30/2010,6.71,0,0,,83,49,,,,,,,,,,,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",5/1/2010,8.95,0,0,,88,61,,,,,,,,,,,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",5/2/2010,11.41,0,0,,87,71,,,,,1,,,,,,,,,1,,,,
