"","Date","Avg.Wind.Speed","Percip","Snow","Temp.Avg","Temp.Max","Temp.Min","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT11","WT13","WT14","WT15","WT16","WT17","WT18","WT21","WT22","Snow.bin"
"94",2010-04-04,4.47,0,0,NA,77,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
"95",2010-04-05,5.14,0,0,NA,83,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
"96",2010-04-06,10.29,0,0,NA,90,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
"97",2010-04-07,11.41,0,0,NA,90,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
"98",2010-04-08,15.21,0.62,0,NA,83,56,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,FALSE
"99",2010-04-09,14.54,0.07,0,NA,59,46,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,FALSE
"100",2010-04-10,6.49,0,0,NA,66,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
"101",2010-04-11,6.04,0,0,NA,76,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
"102",2010-04-12,6.26,0,0,NA,73,54,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,FALSE
"103",2010-04-13,9.4,0.12,0,NA,58,48,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,FALSE
"104",2010-04-14,5.37,0,0,NA,64,45,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,FALSE
"105",2010-04-15,6.71,0,0,NA,73,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
"106",2010-04-16,11.41,0,0,NA,85,57,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,FALSE
"107",2010-04-17,18.12,0,0,NA,69,46,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,FALSE
"108",2010-04-18,11.41,0,0,NA,59,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
"109",2010-04-19,10.07,0,0,NA,66,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
"110",2010-04-20,4.7,0,0,NA,69,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
"111",2010-04-21,4.03,0.22,0,NA,57,53,1,0,0,0,1,0,1,1,0,0,1,1,0,1,0,0,0,0,FALSE
"112",2010-04-22,6.26,0,0,NA,74,50,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,FALSE
"113",2010-04-23,6.04,0,0,NA,73,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
"114",2010-04-24,5.82,0.05,0,NA,63,54,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,FALSE
"115",2010-04-25,9.17,0.12,0,NA,77,53,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,FALSE
"116",2010-04-26,4.92,0.3,0,NA,62,54,1,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,FALSE
"117",2010-04-27,12.75,0,0,NA,65,46,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,FALSE
"118",2010-04-28,11.86,0,0,NA,60,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
"119",2010-04-29,9.17,0,0,NA,72,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
"120",2010-04-30,6.71,0,0,NA,83,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
"121",2010-05-01,8.95,0,0,NA,88,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
"122",2010-05-02,11.41,0,0,NA,87,71,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,FALSE
"123",2010-05-03,10.07,0.23,0,NA,83,70,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,FALSE
"124",2010-05-04,7.61,0,0,NA,84,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
"125",2010-05-05,6.71,0,0,NA,83,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
"126",2010-05-06,11.41,0,0,NA,84,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
"127",2010-05-07,9.62,0,0,NA,77,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
"128",2010-05-08,17.45,0,0,NA,79,55,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,FALSE
"129",2010-05-09,15.43,0,0,NA,63,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
"130",2010-05-10,10.29,0,0,NA,66,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
"131",2010-05-11,9.62,0.11,0,NA,57,46,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,FALSE
"132",2010-05-12,9.62,0,0,NA,79,55,1,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,FALSE
"133",2010-05-13,6.93,0,0,NA,63,52,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,FALSE
"134",2010-05-14,10.29,0.14,0,NA,89,59,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,FALSE
"135",2010-05-15,9.4,0,0,NA,79,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
"136",2010-05-16,4.92,0,0,NA,76,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
"137",2010-05-17,6.49,0.49,0,NA,64,53,1,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,FALSE
"138",2010-05-18,12.3,0.14,0,NA,61,52,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,FALSE
"139",2010-05-19,6.49,0,0,NA,68,51,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,FALSE
"140",2010-05-20,5.37,0,0,NA,83,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
"141",2010-05-21,6.04,0,0,NA,86,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
"142",2010-05-22,8.72,0.06,0,NA,78,64,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,FALSE
"143",2010-05-23,9.17,0.64,0,NA,74,67,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,FALSE
"144",2010-05-24,5.59,0,0,NA,79,66,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,FALSE
"145",2010-05-25,5.37,0,0,NA,81,66,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,FALSE
"146",2010-05-26,4.03,0,0,NA,90,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
"147",2010-05-27,6.04,0.26,0,NA,93,69,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,FALSE
"148",2010-05-28,6.93,0.33,0,NA,76,66,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,FALSE
"149",2010-05-29,5.59,0,0,NA,79,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
"150",2010-05-30,4.7,0,0,NA,89,68,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,FALSE
"151",2010-05-31,9.17,0,0,NA,91,71,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,FALSE
"152",2010-06-01,10.29,0.06,0,NA,87,73,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,FALSE
"153",2010-06-02,6.04,0,0,NA,89,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
"154",2010-06-03,7.61,0.33,0,NA,92,71,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,FALSE
"155",2010-06-04,6.93,0,0,NA,89,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
"156",2010-06-05,7.83,0,0,NA,91,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
"157",2010-06-06,10.96,0.03,0,NA,91,69,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,FALSE
